Timestamp,Objeto,Endereço
2025-08-07 14:27:55,OBJ;91622026,APT;282386
2025-08-07 14:36:12,OBJ;91622026,APT;282386
2025-08-07 14:36:22,OBJ;91622026,APT;282386
2025-08-07 14:36:24,OBJ;91622026,APT;282386
2025-08-07 14:53:39,OBJ;91622026,APT;282386
2025-08-07 14:59:05,OBJ;91622026,APT;282386
2025-08-07 15:11:26,OBJ;91622026,APT;282386
2025-08-07 15:11:45,OBJ;91622026,APT;282386
2025-08-07 15:11:56,OBJ;91622026,APT;282386
2025-08-07 15:18:54,OBJ;91622026,APT;282386
2025-08-07 15:19:19,OBJ;91622026,APT;282386
2025-08-07 15:19:44,OBJ;91622026,APT;282386
2025-08-07 15:33:18,OBJ;91622026,APT;282386
2025-08-07 15:56:02,OBJ;91622026,APT;282386
2025-08-07 15:56:14,OBJ;91622026,APT;282386
